,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-19,,20.111045837402344,42.219295501708984,10.006325721740723,36.79581832885742,,,23.540000915527344,61.696876525878906,15.80222225189209,46.355953216552734,,,23.899999618530273,62.625,16.0222225189209,47.60923385620117,,,23.40999984741211,61.203125,15.76111125946045,46.147071838378906,,,23.799999237060547,62.359375,15.884444236755371,47.50092697143555,,,359710,33368640,9589500.0,10558299.0,
2002-03-20,,20.081146240234375,41.74296569824219,10.073870658874512,37.305503845214844,,,23.5049991607666,61.00078201293945,15.90888786315918,46.99806594848633,,,23.700000762939453,62.234375,15.977776527404785,47.16826629638672,,,23.209999084472656,60.671875,15.800000190734863,46.185752868652344,,,23.209999084472656,61.796875,15.844444274902344,46.57257080078125,,,331540,33572544,3933900.0,15263806.0,
2002-03-21,,19.974353790283203,40.889183044433594,9.975370407104492,37.28094482421875,,,23.3799991607666,59.75312423706055,15.75333309173584,46.96712112426758,,,23.68000030517578,60.765625,16.11111068725586,47.13732147216797,,,23.2549991607666,59.53125,15.737776756286621,46.588043212890625,,,23.440000534057617,60.765625,16.11111068725586,46.727294921875,,,220720,21713280,7629255.0,7444999.0,
2002-03-22,,19.974353790283203,40.98220443725586,9.954967498779297,37.3116455078125,,,23.3799991607666,59.889060974121094,15.721111297607422,47.005802154541016,,,23.700000762939453,61.0625,15.887777328491211,47.129581451416016,,,23.2450008392334,59.45390701293945,15.600000381469727,45.96913528442383,,,23.600000381469727,60.828125,15.755555152893066,46.40237045288086,,,455570,37824896,3343860.0,12368614.0,
2002-03-25,,19.974353790283203,40.98220443725586,9.954967498779297,37.3116455078125,,,23.3799991607666,59.889060974121094,15.721111297607422,47.005802154541016,,,23.3799991607666,59.889060974121094,15.721111297607422,47.005802154541016,,,23.3799991607666,59.889060974121094,15.721111297607422,47.005802154541016,,,23.3799991607666,59.889060974121094,15.721111297607422,47.005802154541016,,,0,0,0.0,0.0,
2002-03-26,,19.679607391357422,39.30512619018555,9.89586353302002,36.84494400024414,,,23.03499984741211,57.43828201293945,15.627777099609375,46.417842864990234,,,23.385000228881836,60.234375,15.888888359069824,46.804656982421875,,,22.940000534057617,56.97031021118164,15.55555534362793,46.23217010498047,,,23.260000228881836,59.84375,15.866665840148926,46.7891845703125,,,340250,35463232,8891235.0,8140052.0,
2002-03-27,,20.375898361206055,39.352169036865234,9.735448837280273,36.85721969604492,,,23.850000381469727,57.50703048706055,15.374444007873535,46.43331527709961,,,24.139999389648438,62.5,15.735554695129395,46.943912506103516,,,22.854999542236328,57.20624923706055,15.257777214050293,45.621002197265625,,,22.854999542236328,62.5,15.600000381469727,46.86655044555664,,,428270,25979840,21066480.0,15159564.0,
2002-03-28,,20.21356964111328,40.080848693847656,9.803694725036621,36.88179016113281,,,23.65999984741211,58.571876525878906,15.482221603393555,46.46426010131836,,,23.899999618530273,59.904685974121094,15.595555305480957,46.92070388793945,,,23.549999237060547,57.61015701293945,15.355554580688477,46.03876495361328,,,23.709999084472656,57.65781021118164,15.355554580688477,46.57257080078125,,,625030,47676096,12269115.0,19451496.0,
2002-03-29,,20.21356964111328,40.080848693847656,9.803694725036621,36.88179016113281,,,23.65999984741211,58.571876525878906,15.482221603393555,46.46426010131836,,,23.65999984741211,58.571876525878906,15.482221603393555,46.46426010131836,,,23.65999984741211,58.571876525878906,15.482221603393555,46.46426010131836,,,23.65999984741211,58.571876525878906,15.482221603393555,46.46426010131836,,,0,0,0.0,0.0,
2002-04-01,,19.96154022216797,38.13004684448242,9.93878173828125,37.1089973449707,,,23.364999771118164,55.721092224121094,15.695554733276367,46.75050354003906,,,24.149999618530273,59.125,15.844444274902344,47.70206832885742,,,23.024999618530273,55.174217224121094,15.335555076599121,46.30953598022461,,,24.149999618530273,59.125,15.422222137451172,46.67314147949219,,,835090,37424832,3796605.0,16271826.0,
